Company;Report URL;Type of Report;Year Published;Industry;Geography
SITC International Holdings Company Limited;https://www.sitc.com/en/upfile/202308/2023082962133097.pdf;Climate/TCFD Report;2023;Maritime Transportation;Hong Kong
New Relic;https://newrelic.com/sites/default/files/2023-07/NewRelic-ImpactReport-2023-FINAL.pdf;Sustainability/ESG Report;2023;Services;United States of America
Taiwan Semiconductor Manufacturing Company (TSMC);https://esg.tsmc.com/download/file/2022-TCFDReport-e.pdf;Climate/TCFD Report;2023;Manufacturing;Taiwan
Novatek;https://www.novatek.ru/common/upload/doc/2023/NOVATEK_SR_2022_ENG.pdf;Sustainability/ESG Report;2023;Oil and Gas;Russia
Wolfspeed;https://assets.wolfspeed.com/uploads/2022/10/Wolfspeed_Sustainability_Report_2022.pdf;Climate/TCFD Report, Sustainability/ESG Report;2022;Energy Equipment and Services, Manufacturing;United States of America
EY Global;https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/sustainability/ey-tcfd-report-2022.pdf;Climate/TCFD Report;2023;Services;Global
Xcel Energy;https://s25.q4cdn.com/680186029/files/doc_downloads/irw/TCFD/Managing-Risks-Opportunities-in-a-Clean-Energy-Future-(TCFD-response).pdf;Climate/TCFD Report;2020;Electric and Gas Utilities;United States of America
Xcel Energy;https://s25.q4cdn.com/680186029/files/doc_downloads/2023/01/Managing-Risks-Opportunities-in-the-Net-Zero-Transition-(TCFD-Response).pdf;Climate/TCFD Report;2023;Electric and Gas Utilities;United States of America
KB Financial Group Inc.;https://www.kbfg.com/common/jsp/fileDownUtil.jsp?filepath=/Kor/esg/__attachFile/2021%20KBFG%20TCFD%20Report.pdf;Climate/TCFD Report;2021;Financial Services;South Korea
KB Financial Group Inc.;https://www.kbfg.com/common/jsp/fileDownUtil.jsp?filepath=/Kor/esg/__attachFile/2022_KBFG_TCFD_Report.pdf;Climate/TCFD Report;2022;Financial Services;South Korea
SK hynix;https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/4325948666031769.pdf;Climate/TCFD Report;2022;Manufacturing;South Korea
Georg Fischer AG;https://annual-report.georgfischer.com/21/en/tcfd-report/;Climate/TCFD Report;2022;Manufacturing;Switzerland
Novatek;https://www.novatek.ru/en/development/;Sustainability/ESG Report;2022;Oil and Gas;Russia
SThree Plc;https://www.tcfdhub.org/wp-content/uploads/2022/06/39322-SThree-TCFD-Report-PF2_23.02.22.pdf;Climate/TCFD Report;2022;Recruiting;United Kingdom
GENESIS ENERGY LIMITED;https://gesakentico.blob.core.windows.net/sitecontent/genesis/media/content_2020/investor/pdfs/fy22/genesis_annual_report_fy21.pdf;Mainstream Annual Report/Financial Filings;2021;Electric and Gas Utilities;New Zealand
GENESIS ENERGY LIMITED;https://gesakentico.blob.core.windows.net/sitecontent/genesis/media/new-library-(dec-2017)/about_us/investor/pdfs/fy21/genesis-energy-annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Netherlands
Adani Green Energy Limited;https://www.adanigreenenergy.com/-/media/Project/GreenEnergy/Sustainability/latest-report.pdf;Sustainability/ESG Report;2021;Electric and Gas Utilities;India
Adani Power Limited;https://www.adanipower.com/-/media/Project/Power/Sustainability/documents/Adani-Power-ESG-Report.pdf;Sustainability/ESG Report;2021;Electric and Gas Utilities;India
Adani Transmission Limited;https://www.tcfdhub.org/wp-content/uploads/2021/12/ATL_Intigrated-Annual-Report_FY21.pdf;Sustainability/ESG Report;2021;Electric and Gas Utilities;India
UBS Group;;Mainstream Annual Report/Financial Filings;2020;Banks;Switzerland
Mercury;https://issuu.com/mercurynz/docs/j001292_mercury_ar2021_digital_pp5_med?fr=sZjhiMTQxNjE3MzAClear%2520and%2520concise%2C;Mainstream Annual Report/Financial Filings;2021;Electric and Gas Utilities;New Zealand
Lendlease;https://www.lendlease.com/-/media/llcom/investor-relations/asx-announcements/2020/2020-annual-report.pdf;Mainstream Annual Report/Financial Filings;2020;Real Estate Management and Development;Australia
"Legal &#038; General";https://group.legalandgeneral.com/media/0i2agi1s/fy2020-lg-tcfd-report.pdf;Climate/TCFD Report;2020;Insurance;United Kingdom
Hitachi;https://www.hitachi.com/IR-e/library/integrated/2021/ar2021e.pdf;Mainstream Annual Report/Financial Filings;2021;IT and Communications Services;Japan
DS Smith;https://www.dssmith.com/investors/annual-reports;Mainstream Annual Report/Financial Filings;2021;Paper, Packaging and Forest Products;United Kingdom
CLP Holdings;https://www.clpgroup.com/content/dam/clp-group/channels/investor/document/3-3-financial-reports/2020/e_2020Annual%20Report.pdf.coredownload.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Hong Kong
Citi Group;https://www.citigroup.com/citi/investor/quarterly/2021/ar20_en.pdf?ieNocache=98;Mainstream Annual Report/Financial Filings;2020;Banks;United States of America
Banco Davivienda;https://sostenibilidad.davivienda.com/en/wp-content/uploads/2021/05/Banco-Davivienda-2020-Annual-Report-1.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Colombia
Bancolombia;https://www.tcfdhub.org/wp-content/uploads/2021/10/Integrated-Annual-report-_2020.pdf;Sustainability/ESG Report;2020;Banks;Colombia
Salesforce;https://s23.q4cdn.com/574569502/files/doc_downloads/2021/10/Salesforce-TCFD-Report.pdf;Climate/TCFD Report;2021;IT and Communications Services;United States of America
Irish Life Investment Managers (ILIM);https://www.ilim.com/media/1812/tcfd-2020-report.pdf;Climate/TCFD Report;2021;Asset Managers;Ireland
Schlumberger;https://www.slb.com/sustainability/pdf/SLB_2020_Sustainability_Report.pdf;Sustainability/ESG Report;2021;Oil and Gas;United States of America
The City of Mississauga;https://www.mississauga.ca/wp-content/uploads/2021/09/16140917/2020-Financial-and-Sustainability-Report.pdf;Mainstream Annual Report/Financial Filings;2021;;Canada
Diageo;https://www.diageo.com/PR1346/aws/media/13214/diageo-annual-report-2021.pdf;Mainstream Annual Report/Financial Filings;2021;Beverages;United Kingdom
Novatek;https://www.novatek.ru/common/upload/doc/NOVATEK_SR_2020_ENG.pdf;Sustainability/ESG Report;2021;Oil and Gas;Russia
Siemens;https://assets.new.siemens.com/siemens/assets/api/uuid:13f56263-0d96-421c-a6a4-9c10bb9b9d28/sustainability2020-en.pdf;Sustainability/ESG Report;2020;Health Care Equipment and Services;Germany
Siemens;https://assets.new.siemens.com/siemens/assets/api/uuid:16c327d3-3e02-427e-952f-e7f610d954fe/siemens-sustainability-information-2019.pdf;Sustainability/ESG Report;2019;Health Care Equipment and Services;Germany
The City of Montreal;https://portail-m4s.s3.montreal.ca/pdf/rapport_financier_annuel_2020_vf_ang.pdf;Mainstream Annual Report/Financial Filings;2021;;Canada
PhosAgro;https://www.phosagro.com/upload/iblock/e15/e15bf1098983dd8976a69b3e55184580.pdf;Climate/TCFD Report;2020;Chemicals;Russia
Zurich;https://www.zurich.com/en/annual-report/2019;Mainstream Annual Report/Financial Filings;2019;Insurance;Switzerland
Zurich;https://www.zurich.co.uk/-/media/project/zwp/united-kingdom/docs/about-us/cr/zurich_climatewise_report_2019.pdf;Climate/TCFD Report;2019;Insurance;Switzerland
Zurich;https://www.zurich.com/en/investor-relations/results-and-reports;Mainstream Annual Report/Financial Filings;2020;Insurance;Switzerland
Zurich;https://www.zurich.co.uk/-/media/project/zwp/united-kingdom/docs/about-us/cr/zurich_climatewise_report_2020.pdf;Climate/TCFD Report;2020;Insurance;Switzerland
YES BANK;https://www.yesbank.in/pdf/annual_report_2020_2021_pdf;Mainstream Annual Report/Financial Filings;2020;Banks;India
Woolworths Group;https://www.woolworthsgroup.com.au/icms_docs/195794_annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Retail;Australia
Woodside;https://files.woodside/docs/default-source/investor-documents/major-reports-(static-pdfs)/full-year-2019-results/annual-report-2019.pdf?sfvrsn=3f0c259f_12;Mainstream Annual Report/Financial Filings;2019;Oil and Gas;Australia
Woodside;https://files.woodside/docs/default-source/investor-documents/major-reports-(static-pdfs)/2020-full-year-results-and-annual-report/2020-woodside-annual-report.pdf?sfvrsn=11372a48_4;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;Australia
Wipro;https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2018-2019/annual-report-interactive.pdf;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;India
Wipro;https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2019-2020/wipro-interactive-annual-report-2019-2020.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;India
Wipro;https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/integrated-annual-report-2020-21.pdf;Mainstream Annual Report/Financial Filings;2021;IT and Communications Services;India
WEC Energy Group;https://www.wecenergygroup.com/csr/climate-report.pdf;Climate/TCFD Report;2019;Electric and Gas Utilities;United States of America
WEC Energy Group;https://www.wecenergygroup.com/csr/cr2020/wec-corporate-responsibility-report-2020.pdf#pagemode=bookmarks;Sustainability/ESG Report;2020;Electric and Gas Utilities;United States of America
Walmart of Mexico and Central America;https://informes.walmex.mx/2019/descargas/eng/Walmart_2019_annual_report_complete.pdf;Mainstream Annual Report/Financial Filings;2019;Retail;Mexico
Walmart of Mexico and Central America;https://informes.walmex.mx/2020/en/pdfs/2020_Financial_and_ESG_Report.pdf;Mainstream Annual Report/Financial Filings;2020;Retail;Mexico
Volvo;https://www.volvogroup.com/content/dam/volvo/volvo-group/markets/global/en-en/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Automobiles and Components;Sweden
Volvo;https://www.volvogroup.com/content/dam/volvo/volvo-group/markets/global/en-en/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Automobiles and Components;Sweden
Volkswagen;https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2019/Nonfinancial_Report_2019_e.pdf;Sustainability/ESG Report;2019;Automobiles and Components;Germany
Volkswagen;https://www.volkswagenag.com/presence/investorrelation/publications/annual-reports/2020/volkswagen/Y_2019_e.pdf;Mainstream Annual Report/Financial Filings;2019;Automobiles and Components;Germany
Vodafone;https://investors.vodafone.com/sites/vodafone-ir/files/2021-05/vodafone-annual-report-2021.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;United Kingdom
Vodafone;https://investors.vodafone.com/sites/vodafone-ir/files/2021-05/vodafone-tcfd-report-2021.pdf;Climate/TCFD Report;2021;IT and Communications Services;United Kingdom
Vodacom;https://vodacom-reports.co.za/integrated-reports/ir-2021/documents/sustainability-report-2021-new.pdf;Sustainability/ESG Report;2020;IT and Communications Services;South Africa
Vistra;https://www.vistracorp.com/wp-content/uploads/2021/05/2020-sustainability-report.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;United States of America
Vistra;https://www.vistracorp.com/wp-content/uploads/2020/11/VST-2020-Climate-Report.pdf;Climate/TCFD Report;2020;Electric and Gas Utilities;United States of America
Vancity;https://annualreport.vancity.com/_doc/Vancity-2020-annual-report.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Canada
Van Lanschot Kempen;https://media.vanlanschot.nl/media/pdfs/annual-report-2019-van-lanschot-kempen.pdf;Mainstream Annual Report/Financial Filings;2019;Asset Managers;Netherlands
